,id,orig,dest,all,male,female,a16,a25,a35,a50,a65,home,train,bus,car,pass,bicycle,walk,other
21483,628744,E02001048,E02006917,72,30,42,16,28,16,12,0,0,26,9,27,5,1,3,1
21484,629485,E02001050,E02006917,72,25,47,14,35,14,9,0,0,5,35,19,5,3,4,1
21485,629553,E02001051,E02001062,72,49,23,8,18,30,14,2,0,0,27,37,6,1,1,0
21486,630614,E02001055,E02001062,72,47,25,8,11,31,20,2,0,0,16,44,6,2,4,0
21487,631265,E02001057,E02001066,72,36,36,10,35,20,7,0,0,1,20,27,8,7,8,1
21488,639281,E02001079,E02001260,72,41,31,38,18,12,4,0,0,0,28,37,4,3,0,0
21489,640465,E02001082,E02001087,72,36,36,18,28,16,9,1,0,2,16,25,1,4,23,1
21490,640886,E02001083,E02001082,72,35,37,5,39,19,8,1,0,1,3,20,3,7,38,0
21491,641811,E02001085,E02001082,72,15,57,7,11,33,20,1,0,1,10,32,5,4,19,1
21492,642124,E02001086,E02001083,72,31,41,5,22,33,10,2,0,0,13,24,2,4,29,0
21493,644244,E02001091,E02001093,72,40,32,9,18,29,16,0,0,0,6,48,8,4,4,2
21494,628024,E02001047,E02001062,73,45,28,7,11,28,25,2,0,0,22,40,4,1,3,3
21495,630891,E02001055,E02006917,73,31,42,15,28,10,19,1,0,0,41,25,4,2,1,0
21496,632739,E02001063,E02001066,73,28,45,16,30,22,4,1,0,1,19,18,2,2,28,3
21497,636581,E02001073,E02001077,73,31,42,11,23,23,14,2,0,0,7,17,5,6,38,0
21498,646194,E02001096,E02006902,73,38,35,18,23,17,14,1,0,13,29,21,6,2,2,0
21499,2443529,E02006902,E02001184,73,41,32,14,47,6,5,1,0,38,2,18,2,3,10,0
21500,2448880,E02006917,E02001184,73,47,26,12,45,8,8,0,0,20,1,34,1,4,13,0
21501,628022,E02001047,E02001059,74,37,37,7,13,31,21,2,0,0,13,52,6,0,3,0
21502,638207,E02001076,E02006914,74,45,29,41,22,6,5,0,0,1,55,7,2,7,1,1
21503,638425,E02001077,E02001260,74,38,36,30,24,16,4,0,0,0,27,36,2,8,0,1
21504,640461,E02001082,E02001083,74,25,49,14,28,20,10,2,0,0,6,21,2,5,40,0
21505,628420,E02001048,E02001048,75,27,48,11,19,19,22,4,0,5,8,35,2,2,22,1
21506,630213,E02001052,E02006917,75,31,44,15,30,20,8,2,0,13,27,14,8,4,6,3
21507,630272,E02001053,E02001059,75,45,30,4,16,25,27,3,0,0,18,36,7,4,3,7
21508,633991,E02001066,E02001260,75,38,37,56,7,9,2,1,0,0,44,25,3,1,2,0
21509,634864,E02001068,E02006917,75,40,35,17,40,14,4,0,0,0,38,10,3,6,17,1
21510,639158,E02001079,E02001063,75,39,36,21,24,19,9,2,0,0,39,28,2,5,1,0
21511,646495,E02001097,E02006902,75,38,37,22,16,25,10,2,0,7,29,27,3,3,4,2
21512,630002,E02001052,E02001178,76,52,24,9,30,27,10,0,0,8,18,40,2,1,3,4
21513,630048,E02001052,E02001260,76,50,26,21,36,12,5,2,0,4,22,43,2,2,3,0
21514,636292,E02001072,E02001260,76,45,31,24,36,12,3,1,0,0,28,35,2,10,1,0
21515,628078,E02001047,E02001125,77,36,41,11,14,28,22,2,0,0,6,46,4,1,15,5
21516,634922,E02001069,E02001070,77,45,32,5,19,31,20,2,0,0,11,19,2,3,42,0
21517,638295,E02001077,E02001066,77,21,56,6,29,22,19,1,0,0,22,38,2,12,0,3
21518,639184,E02001079,E02001089,77,37,40,31,15,24,7,0,0,1,38,23,3,1,7,4
21519,640466,E02001082,E02001089,77,31,46,18,36,13,8,2,0,1,25,28,1,5,17,0
21520,643335,E02001088,E02006912,77,37,40,6,27,30,14,0,0,4,32,36,2,2,1,0
21521,628868,E02001049,E02001129,78,37,41,12,10,27,27,2,0,0,5,44,9,1,18,1
21522,639714,E02001080,E02001261,78,27,51,50,23,0,3,2,0,0,42,28,7,0,1,0
21523,641792,E02001085,E02001062,78,37,41,7,21,21,24,5,0,1,29,33,3,11,0,1
21524,627648,E02001046,E02001052,79,31,48,11,22,32,12,2,0,1,22,37,6,2,10,1
21525,628805,E02001049,E02001059,79,43,36,15,8,27,28,1,0,0,11,57,6,2,0,3
